File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\ui\OpenPreventiviView.java,189,147,123,3,35,0,7,9,0,0
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\ui\SplashScreen.java,37,26,24,0,11,0,0,0,0,0
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\ui\content\creaProgetto.java,104,90,85,0,8,0,6,9,0,0
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\ui\content\newCliente.java,193,161,119,0,24,0,8,16,0,0
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\ui\content\Start.java,101,84,61,0,11,0,6,9,0,0
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\ui\content\TabContent.java,465,380,346,5,82,0,3,6,0,0
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\ui\template\btnToolBar.java,78,73,62,1,5,0,0,0,0,0
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\ui\template\CampoTesto.java,26,15,13,0,8,0,3,3,0,0
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\ui\template\Etichetta.java,30,18,14,0,9,0,3,3,0,0
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\ui\template\ImageSelector.java,114,80,61,10,21,1,13,92,0,0
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\ui\template\Scheda.java,143,107,91,8,22,2,14,37,0,0
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\ui\template\TabSchede.java,26,19,13,2,7,0,0,0,0,0
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\utility\Service.java,58,46,35,8,12,0,0,0,0,0
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\utility\au\com\bytecode\opencsv\CSVParser.java,324,157,115,37,44,10,123,783,0,0
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\utility\au\com\bytecode\opencsv\CSVReader.java,283,91,68,12,28,1,164,787,0,0
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\utility\au\com\bytecode\opencsv\CSVWriter.java,303,117,86,14,54,0,132,638,0,0
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\utility\au\com\bytecode\opencsv\ResultSetHelper.java,34,8,7,0,4,0,22,92,0,0
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\utility\au\com\bytecode\opencsv\ResultSetHelperService.java,184,135,88,28,25,4,24,132,0,0
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\org\eclipse\wb\swing\FocusTraversalOnArray.java,92,55,40,15,2,0,35,104,10,53
